RIC,Dashboard,Section,Data
CFRJ.J,Portfolio,Local,No
NPNJn.J,Portfolio,Local,No
PRXJn.J,Portfolio,Local,No
FSRJ.J,Portfolio,Local,No
CLSJ.J,Portfolio,Local,No
.JALSH,Portfolio,Local,No
OUTJ.J,Portfolio,Local,No
BHGJ.J,Portfolio,Local,No
REMJ.J,Portfolio,Local,No
WTOP20J.J,Portfolio,Local,No
GLNJ.J,Portfolio,Local,No
SYGEUJ.J,Portfolio,Local,No
APACXJJ.J,Portfolio,Local,No
GLOBALJ.J,Portfolio,Local,No
VALJ.J,Portfolio,Local,No
INCOMEJ.J,Portfolio,Local,No
GLDJ.J,Portfolio,Local,No
AGLJ.J,Portfolio,Local,No
CPIJ.J,Portfolio,Local,No
CSGOVIJ.J,Portfolio,Local,No
WNXT40J.J,Portfolio,Local,No
MTNJ.J,Portfolio,Local,No
MRPJ.J,Portfolio,Local,No
PCWGEJ.J,Portfolio,Local,No
ETFGGBJ.J,Portfolio,Local,No
UOMWPAJ.J,Portfolio,Local,No
BIDJ.J,Portfolio,Local,No
SBKJ.J,Portfolio,Local,No
RLOJ.J,Portfolio,Local,No
SHPJ.J,Portfolio,Local,No
SLMJ.J,Portfolio,Local,No
N91J.J,Portfolio,Local,No
ORNJ.J,Watchlist,Local,No
PANJ.J,Watchlist,Local,No
KALJ.J,Watchlist,Local,No
SSWJ.J,Watchlist,Local,No
STXRESJ.J,Watchlist,Local,No
MFLJ.J,Watchlist,Local,No
SUIJ.J,Watchlist,Local,No
BTIJ.J,Watchlist,Local,No
NGPLTJ.J,Watchlist,Local,No
STXCAPJ.J,Watchlist,Local,No
OMUJ.J,Watchlist,Local,No
ETFPLTJ.J,Watchlist,Local,No
STX40J.J,Watchlist,Local,No
WHLJ.J,Watchlist,Local,No
SYGEUJ.J,Watchlist,Local,No
STXNDQJ.J,Watchlist,Local,No
STXWDMJ.J,Watchlist,Local,No
BOXJ.J,Watchlist,Local,No
STXNDAJ.J,Watchlist,Local,No
DSYJ.J,Watchlist,Local,No
GLDJ.J,Watchlist,Local,No
STXGOVJ.J,Watchlist,Local,No
NEDJ.J,Watchlist,Local,No
WEZJ.J,Watchlist,Local,No
VODJ.J,Watchlist,Local,No
SOLJ.J,Watchlist,Local,No
ATTJ.J,Watchlist,Local,No
MNDI.L,Watchlist,Local,Yes
APNJ.J,Watchlist,Local,No
NEWUSDJ.J,Watchlist,Local,No
RLOJ.J,Watchlist,Local,No
